SEASON,MATCH_TYPE,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FTM,FTA,FGM_2,FG3M_2,FTM_2,DD,TD,FP,PIE,FG_PCT,FG3_PCT,FT_PCT,MVP,ROY,DPOY,MIP,6MOY,All-NBA-Team,All-Defensive-Team,All-Rookie-Team,All-Star,All-Star-MVP,Finals-MVP,POTW,POTM,ROTM,ROOKIE_SEASON,PPG,RBG,APG,SPG,BPG,TPG,FG3APG,FG3MPG,FTMPG,FTAPG,WIN_PCT,GP_PCT
2000-01,Regular,Duane Causwell,190,31,14,17,382.95,76.0,83.0,5.0,8.0,18.0,23.0,32.0,85.0,0.0,0.0,12.0,25.0,32.0,0.0,12.0,0,0,238.1,0.0964818018059458,0.3765,,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2.5,2.7,0.2,0.3,0.6,0.7,0.0,0.0,0.4,0.8,0.452,0.378
2000-01,Regular,Earl Boykins,1863,10,2,8,149.25,65.0,11.0,32.0,5.0,0.0,9.0,25.0,63.0,1.0,8.0,14.0,17.0,25.0,1.0,14.0,0,0,132.2,0.3193818976678912,0.3968,0.125,0.8235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,6.5,1.1,3.2,0.5,0.0,0.9,0.8,0.1,1.4,1.7,0.2,0.122
2000-01,Regular,Eddie Gill,2109,8,1,7,152.23333333333335,39.0,9.0,24.0,4.0,1.0,10.0,16.0,41.0,3.0,9.0,4.0,5.0,16.0,3.0,4.0,0,0,90.8,0.2004591550879835,0.3902,0.3333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,4.9,1.1,3.0,0.5,0.1,1.2,1.1,0.4,0.5,0.6,0.125,0.098
2000-01,Regular,Eddie House,2067,50,30,20,544.8333333333334,251.0,42.0,52.0,13.0,0.0,35.0,104.0,247.0,19.0,55.0,24.0,35.0,104.0,19.0,24.0,0,0,383.4,0.7899688770776812,0.4211,0.3455,0.6857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,5.0,0.8,1.0,0.3,0.0,0.7,1.1,0.4,0.5,0.7,0.6,0.61
2000-01,Regular,Eddie Jones,224,63,40,23,2277.4166666666665,1094.0,292.0,171.0,110.0,58.0,135.0,388.0,871.0,90.0,238.0,228.0,270.0,388.0,90.0,228.0,2,0,2069.9,6.203916851653956,0.4455,0.3782,0.8444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,17.4,4.6,2.7,1.7,0.9,2.1,3.8,1.4,3.6,4.3,0.635,0.768
2000-01,Regular,Eddie Robinson,1944,67,39,28,1202.2333333333331,498.0,198.0,59.0,50.0,32.0,43.0,216.0,407.0,2.0,4.0,64.0,88.0,216.0,2.0,64.0,1,0,1027.1,3.158118009232338,0.5307,0.5,0.7273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,7.4,3.0,0.9,0.7,0.5,0.6,0.1,0.0,1.0,1.3,0.582,0.817
2000-01,Regular,Eduardo Najera,2059,40,26,14,432.6166666666667,131.0,95.0,27.0,13.0,8.0,17.0,58.0,111.0,1.0,3.0,14.0,33.0,58.0,1.0,14.0,0,0,331.5,0.7025216436608048,0.5225,0.3333,0.4242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,3.3,2.4,0.7,0.3,0.2,0.4,0.1,0.0,0.4,0.8,0.65,0.488
2000-01,Regular,Elden Campbell,922,78,46,32,2338.6666666666665,1022.0,608.0,104.0,60.0,140.0,144.0,367.0,834.0,0.0,6.0,288.0,406.0,367.0,0.0,288.0,21,0,2363.6,5.33962647615549,0.44,0.0,0.7094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,13.1,7.8,1.3,0.8,1.8,1.8,0.1,0.0,3.7,5.2,0.59,0.951
2000-01,Regular,Eldridge Recasner,695,43,27,16,405.53333333333336,103.0,50.0,39.0,6.0,1.0,27.0,38.0,114.0,13.0,39.0,14.0,18.0,38.0,13.0,14.0,0,0,215.5,0.3857032205124011,0.3333,0.3333,0.7778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2.4,1.2,0.9,0.1,0.0,0.6,0.9,0.3,0.3,0.4,0.628,0.524
2000-01,Regular,Elliot Perry,386,49,25,24,498.5,147.0,46.0,79.0,22.0,1.0,38.0,65.0,140.0,1.0,5.0,16.0,22.0,65.0,1.0,16.0,0,0,351.7,1.0540852015749729,0.4643,0.2,0.7273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,3.0,0.9,1.6,0.4,0.0,0.8,0.1,0.0,0.3,0.4,0.51,0.598
2000-01,Regular,Elton Brand,1882,74,15,59,2909.4666666666667,1490.0,746.0,240.0,71.0,118.0,219.0,578.0,1216.0,0.0,3.0,334.0,472.0,578.0,0.0,334.0,37,0,3093.2,8.33525101363854,0.4753,0.0,0.7076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,20.1,10.1,3.2,1.0,1.6,3.0,0.0,0.0,4.5,6.4,0.203,0.902
2000-01,Regular,Emanual Davis,1023,62,32,30,1290.1833333333334,361.0,154.0,137.0,64.0,12.0,77.0,133.0,318.0,50.0,127.0,45.0,55.0,133.0,50.0,45.0,0,0,902.3,2.035595852998522,0.4182,0.3937,0.8182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,5.8,2.5,2.2,1.0,0.2,1.2,2.0,0.8,0.7,0.9,0.516,0.756
2000-01,Regular,Eric Montross,376,54,23,31,648.8833333333333,120.0,173.0,19.0,11.0,26.0,41.0,56.0,138.0,0.0,0.0,8.0,31.0,56.0,0.0,8.0,1,0,426.1,0.2725527488768938,0.4058,,0.2581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2.2,3.2,0.4,0.2,0.5,0.8,0.0,0.0,0.1,0.6,0.426,0.659
2000-01,Regular,Eric Piatkowski,15,81,31,50,2144.583333333333,860.0,241.0,96.0,46.0,19.0,76.0,291.0,672.0,120.0,297.0,158.0,181.0,291.0,120.0,158.0,0,0,1412.2,4.107586773217896,0.433,0.404,0.8729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,10.6,3.0,1.2,0.6,0.2,0.9,3.7,1.5,2.0,2.2,0.383,0.988
2000-01,Regular,Eric Snow,727,50,34,16,1743.45,491.0,166.0,369.0,77.0,7.0,124.0,182.0,435.0,5.0,19.0,122.0,154.0,182.0,5.0,122.0,5,0,1371.7,4.108618277750258,0.4184,0.2632,0.7922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,9.8,3.3,7.4,1.5,0.1,2.5,0.4,0.1,2.4,3.1,0.68,0.61
2000-01,Regular,Eric Williams,677,81,36,45,1742.55,535.0,207.0,112.0,64.0,13.0,76.0,162.0,448.0,46.0,139.0,165.0,231.0,162.0,46.0,165.0,0,0,1106.4,1.953852747744531,0.3616,0.3309,0.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,6.6,2.6,1.4,0.8,0.2,0.9,1.7,0.6,2.0,2.9,0.444,0.988
